"Question","Answer"
"比较分子或离子中键角大小的一般方法是什么？","先看中心原子杂化类型（sp > sp² > sp³），再看孤电子对数（孤对电子斥力大，键角变小），最后看配位原子电负性（电负性越大，成键电子对越远离中心原子，键角越小）。"
"分析化学平衡图像（如v-t图、c-t图）的一般步骤？","一看面（纵横坐标意义），二看线（斜率和走向），三看点（起点、折点、交点、终点）。结合“先拐先平数值大”规律判断温度或压强的高低。"
"什么是判断原子分数坐标的截距法？","以晶胞的一个顶点为原点建立三维坐标系(x, y, z)，晶胞棱长定为1，计算原子在各坐标轴上的投影距离与棱长的比值即为该原子的分数坐标。"
"如何判断强电解质和弱电解质？","本质依据：在水溶液中能否完全电离。实验事实：相同浓度的酸/碱，比较其pH大小、导电能力大小；或对比与活泼金属反应的初始速率。"
"解答有机分子中原子共面、共线问题的基本思路是什么？","以四种基本模型（甲烷的正四面体、乙烯的平面、炔的直线、苯的平面六边形）为核心，结合单键可旋转、双/三键不能旋转的特性，进行结构平移组合判断。"
"强酸（碱）与弱酸（碱）在稀释时的pH变化有何比较规律？","加水稀释相同倍数时，强酸pH升高幅度大，弱酸因电离平衡正向移动pH升高幅度小。同pH的强弱酸，弱酸浓度远大于强酸。"
"解答有机推断与合成综合题的策略是什么？","顺推法、逆推法、剥离结合法。寻找突破口（特殊颜色、特定反应条件、特殊气味、特殊的通式或不饱和度等），结合已知信息推导。"
"室温下，如何计算由水电离出的 c(H⁺) 或 c(OH⁻)？","无论是酸溶液还是碱溶液，水电离出的 c(H⁺) 都等于溶液中的 c(OH⁻)（若为酸）或 c(H⁺)（若为碱），即均等于 Kw / c(过量主要离子)。"
"无色溶液中离子检验与推断的关键点？","先排除有色离子（如Cu²⁺蓝、Fe³⁺黄、Fe²⁺浅绿、MnO₄⁻紫）；利用某些离子之间的不共存（如生成沉淀、气体）及特定沉淀的颜色/溶解性逐一判断。"
"溶液混合后pH的计算方法（如强酸和强碱混合）？","先判断酸碱是否过量。若酸过量，先求出混合后剩余的 c(H⁺)，再取负对数；若碱过量，先求出混合后的 c(OH⁻)，算出 pOH，再用 14 - pOH 求得pH；恰好完全反应则pH=7。"
"苯的同系物的同分异构体（含苯环）数目的判断方法？","先确定侧链上的碳原子数，有几种组合（如一个乙基、两个甲基）；再利用邻、间、对位判断结构种数。"
"溶液中的“三个守恒关系”指什么？","1. 电荷守恒：溶液中所有阳离子所带正电荷总数等于阴离子所带负电荷总数；2. 物料守恒：某元素的总浓度等于其各存在形态浓度之和；3. 质子守恒：水电离出的 c(H⁺) = c(OH⁻)。"
"苯的同系物一元取代物数目的判断技巧（等效氢法）？","找对称轴！分子中处于对称位置的氢原子为等效氢。有几种等效氢，其一元取代物就有几种。"
"溶度积Ksp、溶解度S及物质的量浓度c之间的换算方法？","对于沉淀 AmBn，Ksp = c(A)ᵐ · c(B)ⁿ。通过假设每L饱和溶液溶解 S mol，带入离子的化学计量比即可求出两者关系。"
"使用定性与定量的方法解答有机物性质题目的原则？","定性看官能团确定反应类型；定量看方程式系数关系（如 1mol -OH 与 Na 反应产 0.5mol H₂，1mol -COOH 消耗 1mol NaOH/NaHCO₃）。"
"多池串联装置中电池类型的判断？","有外接直流电源的全部是电解池；无外接电源时，两个电极活泼性差别最大且能自反应的池为原电池（提供电源），其余串联的为电解池。"
"有机化合物与极性试剂发生取代反应有何规律？","带部分正电荷的基团攻击带部分负电荷的位置（或相反）。如卤代烃水解，OH⁻ 攻击连有卤原子的带部分正电荷的碳原子。"
