"Question","Answer"
"为什么医院在进行消化道X射线透视时，使用硫酸钡（BaSO₄）作“钡餐”？","虽然钡离子（Ba²⁺）属于重金属离子，有剧毒，但硫酸钡既不溶于水，也不溶于胃酸（主要是盐酸），服用后不会游离出Ba²⁺导致中毒，且能吸收X射线，从而在X光下清晰显示消化道的轮廓。"
"卤代烃在有机合成中有什么重要应用作用？","卤代烃被称为有机合成的“桥梁”。它可以通过水解反应转化为醇（引入羟基），通过消去反应转化为烯烃或炔烃（引入双键或三键），还可以通过与氰化钠（NaCN）等反应增长碳链。"
"日常烧水形成的水垢中，Mg(OH)₂ 是怎样生成的？","水加热时，原水中可溶的碳酸氢镁 Mg(HCO₃)₂ 受热分解生成微溶的碳酸镁 MgCO₃；由于沉淀溶解平衡的存在，由于 Mg(OH)₂ 的溶解度比 MgCO₃ 更小，随着长时间加热，碳酸镁会逐渐水解沉淀转化为更难溶的氢氧化镁 Mg(OH)₂。"
"若一个有机物分子中同时含有醛基（-CHO）和碳碳双键，应如何检验这两种官能团？","由于两者都能使酸性高锰酸钾或溴水褪色，必须按顺序检验。先加入足量（或稍过量）的银氨溶液（或新制Cu(OH)₂悬浊液），水浴加热，出现银镜（或砖红色沉淀）以检验醛基；后利用产物或滤液，加入适量的溴水或酸性KMnO₄溶液，若褪色则证明有双键存在。"
"工业电解和新型电池中，离子交换膜的作用是什么？","离子交换膜具有选择透过性。例如阳离子交换膜只允许阳离子通过，阴离子交换膜只允许阴离子通过。它的截留性能有效防止阴阳两极产物（如氯碱工业中的 Cl₂ 和氢氧化钠）混合发生副反应或影响产品纯度，同时完成了闭合回路中的离子导电。"
"有机合成路线逆向设计的核心思想是什么？","从最终目标产物分子的结构出发，根据目标产物中的特征官能团，利用已知的化学反应规律，将其通过逆推的“切割”断键法则，一步步倒退拆解，直到还原为常见且易得的基础化工原料（如乙烯、苯等）。"
"防晒霜的防晒原理（物理防晒与化学防晒）分别是什么？","物理防晒：利用其中的无机颗粒（如二氧化钛TiO₂、氧化锌ZnO）像镜子一样直接反射或散射掉紫外线；化学防晒：利用某些特定结构的有机化合物分子（如含有共轭苯环大π键结构），能吸收紫外线辐射并将其转化为无害的低能热量散发。"
"如何设计实验探究蔗糖和麦芽糖的化学性质（还原性）差异？","平行取两份溶液：分别加入新制得的 Cu(OH)₂ 悬浊液并加热。麦芽糖能产生砖红色沉淀，证明是还原糖；蔗糖则无现象，为非还原糖。若向蔗糖中加入稀硫酸加热使其水解，再用NaOH中和酸后，加入 Cu(OH)₂ 悬浊液加热，则会产生红色沉淀，证明其水解产物（葡萄糖和果糖）具还原性。"
"如何从分子结构判断物质的亲水性与疏水性？","亲水性基团（如-OH、-COOH、-NH₂等）含有极性较强的键或容易与水分子形成氢键，易溶于水；疏水性基团（如各类长链烷基烃基）是非极性的，主要靠微弱范德华力且排斥水，易溶于油脂等非极性溶剂。"
"在晶体知识中，如何快速判断某种晶体是否属于离子晶体？","1. 看组成：由活泼金属阳离子（或铵根NH₄⁺）与活泼非金属阴离子（或酸根）结合而成的绝大多数是离子晶体；2. 看导电性特性（核心）：固态不导电，但熔融状态下因离子能自由移动而导电的晶体必定是离子晶体。"
